========== THREADING <Thread(Thread-11 (getAllPesertaKelas), stopped 139888921912896)> COMPLETE ==========
Time taken : 1305.56 seconds
Scrapping Student Course 13 kode TPB222
Scrapping Student Course 12 kode TMS206
Scrapping Student Course 34 kode TAR114
Scrapping Student Course 11 kode TPW304
Scrapping Student Course 11 kode TGL216
Scrapping Student Course 13 kode TIK212
Scrapping Student Course 12 kode TLE214
Scrapping Student Course 11 kode TEK214
Scrapping Student Course 11 kode TGS564
Scrapping Student Course 15 kode PTS108
Scrapping Student Course 12 kode TPW304
Scrapping Student Course 11 kode TIU214
Scrapping Student Course 11 kode TPB224
Scrapping Student Course 13 kode TMS206
Scrapping Student Course 11 kode TAR116
Scrapping Student Course 12 kode TGL216
Scrapping Student Course 11 kode TIK301
Scrapping Student Course 12 kode TEK214
Scrapping Student Course 13 kode TLE214
Scrapping Student Course 11 kode TGS565
Scrapping Student Course 11 kode TMS208
Scrapping Student Course 12 kode TIU214
Scrapping Student Course 12 kode TAR116
Scrapping Student Course 12 kode TPB224
Scrapping Student Course 13 kode TGL216
Scrapping Student Course 11 kode PTS110
Scrapping Student Course 11 kode TPW320
Scrapping Student Course 11 kode TGS566
Scrapping Student Course 11 kode TIK302
Scrapping Student Course 11 kode TLE216
Scrapping Student Course 13 kode TEK214
Scrapping Student Course 11 kode TGS568
Scrapping Student Course 12 kode TMS208
Scrapping Student Course 13 kode TIU214
Scrapping Student Course 11 kode TGL218
Scrapping Student Course 12 kode TPW320
Scrapping Student Course 13 kode TPB224
Scrapping Student Course 13 kode TAR116
Scrapping Student Course 11 kode TGS574
Scrapping Student Course 12 kode PTS110
Scrapping Student Course 11 kode TEK302
Scrapping Student Course 12 kode TIK302
Scrapping Student Course 12 kode TLE216
Scrapping Student Course 13 kode TMS208
Scrapping Student Course 11 kode TIU216
Scrapping Student Course 11 kode TPW322
Scrapping Student Course 14 kode TAR116
Scrapping Student Course 12 kode TGL218
Scrapping Student Course 13 kode PTS110
Scrapping Student Course 11 kode TGS588
Scrapping Student Course 11 kode TPB314
Scrapping Student Course 12 kode TEK302
Scrapping Student Course 11 kode TLE218
Scrapping Student Course 11 kode TIK304
Scrapping Student Course 12 kode TIU216
Scrapping Student Course 14 kode TMS208
Scrapping Student Course 11 kode TMS210
Scrapping Student Course 12 kode TMS210
Scrapping Student Course 13 kode TMS210
Scrapping Student Course 14 kode TMS210
Scrapping Student Course 12 kode TPB314
Scrapping Student Course 15 kode TAR116
Scrapping Student Course 13 kode TGL218
Scrapping Student Course 14 kode PTS110
Scrapping Student Course 12 kode TPW322
Scrapping Student Course 11 kode TPW324
Scrapping Student Course 12 kode TLE218
Scrapping Student Course 13 kode TEK302
Scrapping Student Course 11 kode TGU202
Scrapping Student Course 13 kode TIU216
Scrapping Student Course 12 kode TIK304
Scrapping Student Course 11 kode TIK305
Scrapping Student Course 11 kode TMS212
Scrapping Student Course 16 kode TAR116
Scrapping Student Course 11 kode TPW325
Scrapping Student Course 11 kode TGL304
Scrapping Student Course 13 kode TPB314
Scrapping Student Course 13 kode TLE218
Scrapping Student Course 15 kode PTS110
Scrapping Student Course 11 kode TIU302
Scrapping Student Course 12 kode TGU202
Scrapping Student Course 11 kode TEK304
Scrapping Student Course 12 kode TIK305
Scrapping Student Course 12 kode TMS212
Scrapping Student Course 12 kode TPW325
Scrapping Student Course 17 kode TAR116
Scrapping Student Course 11 kode TPB316
